Points:0,Points:1,Points:2,Point ID,Block Number
0.00301735,0.00344063,0,0,5
0.00279305,0.00318486,0,1,5
0.00255079,0.00290862,0,2,5
0.00228914,0.00261026,0,3,5
0.00200653,0.00228801,0,4,5
0.00170131,0.00193997,0,5,5
0.00137164,0.00156406,0,6,5
0.00101558,0.00115805,0,7,5
0.00063102,0.000719541,0,8,5
0.000287559,0.000327898,0,9,5
0.00254245,0.00380504,0,10,5
0.00235345,0.00352218,0,11,5
0.00214932,0.00321668,0,12,5
0.00192884,0.00288672,0,13,5
0.00169072,0.00253034,0,14,5
0.00143353,0.00214543,0,15,5
0.00115576,0.00172971,0,16,5
0.000855739,0.0012807,0,17,5
0.000531703,0.000795749,0,18,5
0.000242299,0.000362626,0,19,5
0.00202404,0.00410434,0,20,5
0.00187358,0.00379924,0,21,5
0.00171107,0.0034697,0,22,5
0.00153555,0.00311379,0,23,5
0.00134598,0.00272938,0,24,5
0.00114123,0.00231419,0,25,5
0.000920096,0.00186577,0,26,5
0.000681253,0.00138144,0,27,5
0.000423288,0.000858343,0,28,5
0.000192894,0.00039115,0,29,5
0.001471,0.00433342,0,30,5
0.00136165,0.00401128,0,31,5
0.00124354,0.00366336,0,32,5
0.00111598,0.00328758,0,33,5
0.00097821,0.00288171,0,34,5
0.000829408,0.00244336,0,35,5
0.000668692,0.0019699,0,36,5
0.00049511,0.00145855,0,37,5
0.00030763,0.00090625,0,38,5
0.000140188,0.000412982,0,39,5
0.000892788,0.00448835,0,40,5
0.000826421,0.0041547,0,41,5
0.00075474,0.00379433,0,42,5
0.00067732,0.00340512,0,43,5
0.000593702,0.00298474,0,44,5
0.00050339,0.00253071,0,45,5
0.000405847,0.00204033,0,46,5
0.000300496,0.00151069,0,47,5
0.000186709,0.00093865,0,48,5
8.50842e-05,0.000427747,0,49,5
0.000299303,0.00456648,0,50,5
0.000277054,0.00422702,0,51,5
0.000253023,0.00386039,0,52,5
0.000227068,0.0034644,0,53,5
0.000199036,0.0030367,0,54,5
0.000168759,0.00257477,0,55,5
0.000136058,0.00207585,0,56,5
0.00010074,0.00153699,0,57,5
6.25934e-05,0.000954991,0,58,5
2.85241e-05,0.000435193,0,59,5
-0.000299303,0.00456648,0,60,5
-0.000277054,0.00422702,0,61,5
-0.000253023,0.00386039,0,62,5
-0.000227068,0.0034644,0,63,5
-0.000199036,0.0030367,0,64,5
-0.000168759,0.00257477,0,65,5
-0.000136058,0.00207585,0,66,5
-0.00010074,0.00153699,0,67,5
-6.25934e-05,0.000954991,0,68,5
-2.85241e-05,0.000435193,0,69,5
-0.000892788,0.00448835,0,70,5
-0.000826421,0.0041547,0,71,5
-0.00075474,0.00379433,0,72,5
-0.00067732,0.00340512,0,73,5
-0.000593702,0.00298474,0,74,5
-0.00050339,0.00253071,0,75,5
-0.000405847,0.00204033,0,76,5
-0.000300496,0.00151069,0,77,5
-0.000186709,0.00093865,0,78,5
-8.50842e-05,0.000427747,0,79,5
-0.001471,0.00433342,0,80,5
-0.00136165,0.00401128,0,81,5
-0.00124354,0.00366336,0,82,5
-0.00111598,0.00328758,0,83,5
-0.00097821,0.00288171,0,84,5
-0.000829408,0.00244336,0,85,5
-0.000668692,0.0019699,0,86,5
-0.00049511,0.00145855,0,87,5
-0.00030763,0.00090625,0,88,5
-0.000140188,0.000412982,0,89,5
-0.00202404,0.00410434,0,90,5
-0.00187358,0.00379924,0,91,5
-0.00171107,0.0034697,0,92,5
-0.00153555,0.00311379,0,93,5
-0.00134598,0.00272938,0,94,5
-0.00114123,0.00231419,0,95,5
-0.000920096,0.00186577,0,96,5
-0.000681253,0.00138144,0,97,5
-0.000423288,0.000858343,0,98,5
-0.000192894,0.00039115,0,99,5
-0.00254245,0.00380504,0,100,5
-0.00235345,0.00352218,0,101,5
-0.00214932,0.00321668,0,102,5
-0.00192884,0.00288672,0,103,5
-0.00169072,0.00253034,0,104,5
-0.00143353,0.00214543,0,105,5
-0.00115576,0.00172971,0,106,5
-0.000855739,0.0012807,0,107,5
-0.000531703,0.000795749,0,108,5
-0.000242299,0.000362626,0,109,5
-0.00301735,0.00344063,0,110,5
-0.00279305,0.00318486,0,111,5
-0.00255079,0.00290862,0,112,5
-0.00228914,0.00261026,0,113,5
-0.00200653,0.00228801,0,114,5
-0.00170131,0.00193997,0,115,5
-0.00137164,0.00156406,0,116,5
-0.00101558,0.00115805,0,117,5
-0.00063102,0.000719541,0,118,5
-0.000287559,0.000327898,0,119,5
-0.00344063,0.00301735,0,120,5
-0.00318486,0.00279305,0,121,5
-0.00290862,0.00255079,0,122,5
-0.00261026,0.00228914,0,123,5
