T,Points:0,Points:1,Points:2,Point ID,Block Number
341.467,0.00301735,0.00344063,0.005,0,5
341.467,0.00254245,0.00380504,0.005,1,5
341.467,0.00202404,0.00410434,0.005,2,5
341.467,0.001471,0.00433342,0.005,3,5
341.467,0.000892788,0.00448835,0.005,4,5
341.467,0.000299303,0.00456648,0.005,5,5
341.467,-0.000299303,0.00456648,0.005,6,5
341.467,-0.000892788,0.00448835,0.005,7,5
341.467,-0.001471,0.00433342,0.005,8,5
341.467,-0.00202404,0.00410434,0.005,9,5
341.467,-0.00254245,0.00380504,0.005,10,5
341.467,-0.00301735,0.00344063,0.005,11,5
349.453,0.00279305,0.00318486,0.005,12,5
349.453,0.00235345,0.00352218,0.005,13,5
349.453,0.00187358,0.00379924,0.005,14,5
349.453,0.00136165,0.00401128,0.005,15,5
349.453,0.000826421,0.0041547,0.005,16,5
349.453,0.000277054,0.00422702,0.005,17,5
349.453,-0.000277054,0.00422702,0.005,18,5
349.453,-0.000826421,0.0041547,0.005,19,5
349.453,-0.00136165,0.00401128,0.005,20,5
349.453,-0.00187358,0.00379924,0.005,21,5
349.453,-0.00235345,0.00352218,0.005,22,5
349.453,-0.00279305,0.00318486,0.005,23,5
349.981,0.00255079,0.00290862,0.005,24,5
349.981,0.00214932,0.00321668,0.005,25,5
349.981,0.00171107,0.0034697,0.005,26,5
349.981,0.00124354,0.00366336,0.005,27,5
349.981,0.00075474,0.00379433,0.005,28,5
349.981,0.000253023,0.00386039,0.005,29,5
349.981,-0.000253023,0.00386039,0.005,30,5
349.981,-0.00075474,0.00379433,0.005,31,5
349.981,-0.00124354,0.00366336,0.005,32,5
349.981,-0.00171107,0.0034697,0.005,33,5
349.981,-0.00214932,0.00321668,0.005,34,5
349.981,-0.00255079,0.00290862,0.005,35,5
350,0.00228914,0.00261026,0.005,36,5
350,0.00192884,0.00288672,0.005,37,5
350,0.00153555,0.00311379,0.005,38,5
350,0.00111598,0.00328758,0.005,39,5
350,0.00067732,0.00340512,0.005,40,5
350,0.000227068,0.0034644,0.005,41,5
350,-0.000227068,0.0034644,0.005,42,5
350,-0.00067732,0.00340512,0.005,43,5
350,-0.00111598,0.00328758,0.005,44,5
350,-0.00153555,0.00311379,0.005,45,5
350,-0.00192884,0.00288672,0.005,46,5
350,-0.00228914,0.00261026,0.005,47,5
350,0.00200653,0.00228801,0.005,48,5
350,0.00169072,0.00253034,0.005,49,5
350,0.00134598,0.00272938,0.005,50,5
350,0.00097821,0.00288171,0.005,51,5
350,0.000593702,0.00298474,0.005,52,5
350,0.000199036,0.0030367,0.005,53,5
350,-0.000199036,0.0030367,0.005,54,5
350,-0.000593702,0.00298474,0.005,55,5
350,-0.00097821,0.00288171,0.005,56,5
350,-0.00134598,0.00272938,0.005,57,5
350,-0.00169072,0.00253034,0.005,58,5
350,-0.00200653,0.00228801,0.005,59,5
350,0.00170131,0.00193997,0.005,60,5
350,0.00143353,0.00214543,0.005,61,5
350,0.00114123,0.00231419,0.005,62,5
350,0.000829408,0.00244336,0.005,63,5
350,0.00050339,0.00253071,0.005,64,5
350,0.000168759,0.00257477,0.005,65,5
350,-0.000168759,0.00257477,0.005,66,5
350,-0.00050339,0.00253071,0.005,67,5
350,-0.000829408,0.00244336,0.005,68,5
350,-0.00114123,0.00231419,0.005,69,5
350,-0.00143353,0.00214543,0.005,70,5
350,-0.00170131,0.00193997,0.005,71,5
350,0.00137164,0.00156406,0.005,72,5
350,0.00115576,0.00172971,0.005,73,5
350,0.000920096,0.00186577,0.005,74,5
350,0.000668692,0.0019699,0.005,75,5
350,0.000405847,0.00204033,0.005,76,5
350,0.000136058,0.00207585,0.005,77,5
350,-0.000136058,0.00207585,0.005,78,5
350,-0.000405847,0.00204033,0.005,79,5
350,-0.000668692,0.0019699,0.005,80,5
350,-0.000920096,0.00186577,0.005,81,5
350,-0.00115576,0.00172971,0.005,82,5
350,-0.00137164,0.00156406,0.005,83,5
350,0.00101558,0.00115805,0.005,84,5
350,0.000855739,0.0012807,0.005,85,5
350,0.000681253,0.00138144,0.005,86,5
350,0.00049511,0.00145855,0.005,87,5
350,0.000300496,0.00151069,0.005,88,5
350,0.00010074,0.00153699,0.005,89,5
350,-0.00010074,0.00153699,0.005,90,5
350,-0.000300496,0.00151069,0.005,91,5
350,-0.00049511,0.00145855,0.005,92,5
350,-0.000681253,0.00138144,0.005,93,5
350,-0.000855739,0.0012807,0.005,94,5
350,-0.00101558,0.00115805,0.005,95,5
350,0.00063102,0.000719541,0.005,96,5
350,0.000531703,0.000795749,0.005,97,5
350,0.000423288,0.000858343,0.005,98,5
350,0.00030763,0.00090625,0.005,99,5
350,0.000186709,0.00093865,0.005,100,5
350,6.25934e-05,0.000954991,0.005,101,5
350,-6.25934e-05,0.000954991,0.005,102,5
350,-0.000186709,0.00093865,0.005,103,5
350,-0.00030763,0.00090625,0.005,104,5
350,-0.000423288,0.000858343,0.005,105,5
350,-0.000531703,0.000795749,0.005,106,5
350,-0.00063102,0.000719541,0.005,107,5
350,0.000287559,0.000327898,0.005,108,5
350,0.000242299,0.000362626,0.005,109,5
350,0.000192894,0.000391151,0.005,110,5
350,0.000140189,0.000412982,0.005,111,5
350,8.50842e-05,0.000427747,0.005,112,5
350,2.85241e-05,0.000435193,0.005,113,5
350,-2.8524e-05,0.000435193,0.005,114,5
350,-8.50842e-05,0.000427747,0.005,115,5
350,-0.000140188,0.000412982,0.005,116,5
350,-0.000192894,0.000391151,0.005,117,5
350,-0.000242299,0.000362627,0.005,118,5
350,-0.000287559,0.000327898,0.005,119,5
337.582,0.00301735,0.00344063,0.015,120,5
337.582,0.00254245,0.00380504,0.015,121,5
337.582,0.00202404,0.00410434,0.015,122,5
337.582,0.001471,0.00433342,0.015,123,5
337.582,0.000892788,0.00448835,0.015,124,5
337.582,0.000299303,0.00456648,0.015,125,5
337.582,-0.000299303,0.00456648,0.015,126,5
337.582,-0.000892788,0.00448835,0.015,127,5
337.582,-0.001471,0.00433342,0.015,128,5
337.582,-0.00202404,0.00410434,0.015,129,5
337.582,-0.00254245,0.00380504,0.015,130,5
337.582,-0.00301735,0.00344063,0.015,131,5
348.574,0.00279305,0.00318486,0.015,132,5
348.574,0.00235345,0.00352218,0.015,133,5
348.574,0.00187358,0.00379924,0.015,134,5
348.574,0.00136165,0.00401128,0.015,135,5
348.574,0.000826421,0.0041547,0.015,136,5
348.574,0.000277054,0.00422702,0.015,137,5
348.574,-0.000277054,0.00422702,0.015,138,5
348.574,-0.000826421,0.0041547,0.015,139,5
348.574,-0.00136165,0.00401128,0.015,140,5
348.574,-0.00187358,0.00379924,0.015,141,5
348.574,-0.00235345,0.00352218,0.015,142,5
348.574,-0.00279305,0.00318486,0.015,143,5
349.927,0.00255079,0.00290862,0.015,144,5
349.927,0.00214932,0.00321668,0.015,145,5
349.927,0.00171107,0.0034697,0.015,146,5
349.927,0.00124354,0.00366336,0.015,147,5
349.927,0.00075474,0.00379433,0.015,148,5
349.927,0.000253023,0.00386039,0.015,149,5
349.927,-0.000253023,0.00386039,0.015,150,5
349.927,-0.00075474,0.00379433,0.015,151,5
349.927,-0.00124354,0.00366336,0.015,152,5
349.927,-0.00171107,0.0034697,0.015,153,5
349.927,-0.00214932,0.00321668,0.015,154,5
349.927,-0.00255079,0.00290862,0.015,155,5
349.998,0.00228914,0.00261026,0.015,156,5
349.998,0.00192884,0.00288672,0.015,157,5
349.998,0.00153555,0.00311379,0.015,158,5
349.998,0.00111598,0.00328758,0.015,159,5
349.998,0.00067732,0.00340512,0.015,160,5
349.998,0.000227068,0.0034644,0.015,161,5
349.998,-0.000227068,0.0034644,0.015,162,5
349.998,-0.00067732,0.00340512,0.015,163,5
349.998,-0.00111598,0.00328758,0.015,164,5
349.998,-0.00153555,0.00311379,0.015,165,5
349.998,-0.00192884,0.00288672,0.015,166,5
349.998,-0.00228914,0.00261026,0.015,167,5
350,0.00200653,0.00228801,0.015,168,5
350,0.00169072,0.00253034,0.015,169,5
350,0.00134598,0.00272938,0.015,170,5
350,0.00097821,0.00288171,0.015,171,5
350,0.000593702,0.00298474,0.015,172,5
350,0.000199036,0.0030367,0.015,173,5
350,-0.000199036,0.0030367,0.015,174,5
350,-0.000593702,0.00298474,0.015,175,5
350,-0.00097821,0.00288171,0.015,176,5
350,-0.00134598,0.00272938,0.015,177,5
350,-0.00169072,0.00253034,0.015,178,5
