Points:0,Points:1,Points:2,Point ID,Block Number
0.0090433,0.0103119,0,0,4
0.00870776,0.00992929,0,1,4
0.00837221,0.00954668,0,2,4
0.00803666,0.00916406,0,3,4
0.00770112,0.00878144,0,4,4
0.00736557,0.00839883,0,5,4
0.00703003,0.00801621,0,6,4
0.00669448,0.00763359,0,7,4
0.00635893,0.00725097,0,8,4
0.00602339,0.00686836,0,9,4
0.00568784,0.00648574,0,10,4
0.00535229,0.00610312,0,11,4
0.00501675,0.0057205,0,12,4
0.0046812,0.00533789,0,13,4
0.00434565,0.00495527,0,14,4
0.00761996,0.0114041,0,15,4
0.00733723,0.0109809,0,16,4
0.00705449,0.0105578,0,17,4
0.00677176,0.0101347,0,18,4
0.00648903,0.00971151,0,19,4
0.00620629,0.00928837,0,20,4
0.00592356,0.00886523,0,21,4
0.00564082,0.00844209,0,22,4
0.00535809,0.00801895,0,23,4
0.00507536,0.00759581,0,24,4
0.00479262,0.00717266,0,25,4
0.00450989,0.00674952,0,26,4
0.00422715,0.00632638,0,27,4
0.00394442,0.00590324,0,28,4
0.00366168,0.0054801,0,29,4
0.00606624,0.0123011,0,30,4
0.00584116,0.0118447,0,31,4
0.00561607,0.0113883,0,32,4
0.00539099,0.0109318,0,33,4
0.0051659,0.0104754,0,34,4
0.00494082,0.010019,0,35,4
0.00471574,0.00956257,0,36,4
0.00449065,0.00910614,0,37,4
0.00426557,0.00864972,0,38,4
0.00404048,0.00819329,0,39,4
0.0038154,0.00773686,0,40,4
0.00359031,0.00728044,0,41,4
0.00336523,0.00682401,0,42,4
0.00314015,0.00636759,0,43,4
0.00291506,0.00591116,0,44,4
0.00440873,0.0129877,0,45,4
0.00424514,0.0125058,0,46,4
0.00408156,0.0120239,0,47,4
0.00391798,0.011542,0,48,4
0.00375439,0.0110601,0,49,4
0.00359081,0.0105782,0,50,4
0.00342723,0.0100963,0,51,4
0.00326364,0.00961438,0,52,4
0.00310006,0.00913248,0,53,4
0.00293648,0.00865058,0,54,4
0.00277289,0.00816868,0,55,4
0.00260931,0.00768678,0,56,4
0.00244573,0.00720488,0,57,4
0.00228214,0.00672298,0,58,4
0.00211856,0.00624108,0,59,4
0.00267578,0.013452,0,60,4
0.00257649,0.0129529,0,61,4
0.00247721,0.0124538,0,62,4
0.00237793,0.0119546,0,63,4
0.00227864,0.0114555,0,64,4
0.00217936,0.0109564,0,65,4
0.00208008,0.0104573,0,66,4
0.00198079,0.00995812,0,67,4
0.00188151,0.00945899,0,68,4
0.00178223,0.00895986,0,69,4
0.00168294,0.00846073,0,70,4
0.00158366,0.0079616,0,71,4
0.00148438,0.00746248,0,72,4
0.0013851,0.00696335,0,73,4
0.00128581,0.00646422,0,74,4
0.000897041,0.0136862,0,75,4
0.000863757,0.0131784,0,76,4
0.000830473,0.0126706,0,77,4
0.000797189,0.0121627,0,78,4
0.000763905,0.0116549,0,79,4
0.00073062,0.0111471,0,80,4
0.000697336,0.0106393,0,81,4
0.000664052,0.0101315,0,82,4
0.000630768,0.00962366,0,83,4
0.000597484,0.00911584,0,84,4
0.000564199,0.00860802,0,85,4
0.000530915,0.0081002,0,86,4
0.000497631,0.00759238,0,87,4
0.000464347,0.00708457,0,88,4
0.000431063,0.00657675,0,89,4
-0.000897041,0.0136862,0,90,4
-0.000863757,0.0131784,0,91,4
-0.000830473,0.0126706,0,92,4
-0.000797189,0.0121627,0,93,4
-0.000763905,0.0116549,0,94,4
-0.00073062,0.0111471,0,95,4
-0.000697336,0.0106393,0,96,4
-0.000664052,0.0101315,0,97,4
-0.000630768,0.00962366,0,98,4
-0.000597484,0.00911584,0,99,4
-0.000564199,0.00860802,0,100,4
-0.000530915,0.0081002,0,101,4
-0.000497631,0.00759238,0,102,4
-0.000464347,0.00708457,0,103,4
-0.000431063,0.00657675,0,104,4
-0.00267578,0.013452,0,105,4
-0.00257649,0.0129529,0,106,4
-0.00247721,0.0124538,0,107,4
-0.00237793,0.0119546,0,108,4
-0.00227864,0.0114555,0,109,4
-0.00217936,0.0109564,0,110,4
-0.00208008,0.0104573,0,111,4
-0.00198079,0.00995812,0,112,4
-0.00188151,0.00945899,0,113,4
-0.00178223,0.00895986,0,114,4
-0.00168294,0.00846073,0,115,4
-0.00158366,0.0079616,0,116,4
-0.00148438,0.00746248,0,117,4
-0.0013851,0.00696335,0,118,4
-0.00128581,0.00646422,0,119,4
-0.00440873,0.0129877,0,120,4
-0.00424514,0.0125058,0,121,4
-0.00408156,0.0120239,0,122,4
-0.00391798,0.011542,0,123,4
-0.00375439,0.0110601,0,124,4
-0.00359081,0.0105782,0,125,4
-0.00342723,0.0100963,0,126,4
-0.00326364,0.00961438,0,127,4
-0.00310006,0.00913248,0,128,4
-0.00293648,0.00865058,0,129,4
-0.00277289,0.00816868,0,130,4
-0.00260931,0.00768678,0,131,4
-0.00244573,0.00720488,0,132,4
-0.00228214,0.00672298,0,133,4
-0.00211856,0.00624108,0,134,4
-0.00606624,0.0123011,0,135,4
-0.00584116,0.0118447,0,136,4
-0.00561607,0.0113883,0,137,4
-0.00539099,0.0109318,0,138,4
-0.0051659,0.0104754,0,139,4
-0.00494082,0.010019,0,140,4
-0.00471574,0.00956257,0,141,4
-0.00449065,0.00910614,0,142,4
-0.00426557,0.00864972,0,143,4
-0.00404048,0.00819329,0,144,4
